"","lastname","firstname","town","state","state_and_twon"
"148","Schakowsky","Janice","Evanston","Illinois","Evanston ,  Illinois"
"149","Dold","Robert","Kenilworth","Illinois","Kenilworth ,  Illinois"
"150","Foster","Bill","Naperville","Illinois","Naperville ,  Illinois"
"151","Bost","Mike","Murphysboro","Illinois","Murphysboro ,  Illinois"
"152","Davis","Rodney","Taylorville","Illinois","Taylorville ,  Illinois"
"153","Hultgren","Randy","Plano","Illinois","Plano ,  Illinois"
"154","Shimkus","John","Collinsville","Illinois","Collinsville ,  Illinois"
"155","Kinzinger","Adam","Channahon","Illinois","Channahon ,  Illinois"
"156","Bustos","Cheri","East Moline","Illinois","East Moline ,  Illinois"
"157","LaHood","Darin","Peoria","Illinois","Peoria ,  Illinois"
"158","Visclosky","Peter","Merrillville","Indiana","Merrillville ,  Indiana"
"159","Walorski","Jackie","Elkhart","Indiana","Elkhart ,  Indiana"
"160","Stutzman","Marlin","Howe","Indiana","Howe ,  Indiana"
"161","Rokita","Todd","Clermont","Indiana","Clermont ,  Indiana"
"162","Brooks","Susan","Carmel","Indiana","Carmel ,  Indiana"
"163","Messer","Luke","Greensburg","Indiana","Greensburg ,  Indiana"
"164","Carson","André","Indianapolis","Indiana","Indianapolis ,  Indiana"
"165","Bucshon","Larry","Newburgh","Indiana","Newburgh ,  Indiana"
"166","Young","Todd","Bloomington","Indiana","Bloomington ,  Indiana"
"167","Huelskamp","Tim","Fowler","Kansas","Fowler ,  Kansas"
"168","Jenkins","Lynn","Topeka","Kansas","Topeka ,  Kansas"
"169","Yoder","Kevin","Overland Park","Kansas","Overland Park ,  Kansas"
"170","Pompeo","Mike","Wichita","Kansas","Wichita ,  Kansas"
"171","","","","Kentucky"," ,  Kentucky"
"172","Guthrie","Brett","Bowling Green","Kentucky","Bowling Green ,  Kentucky"
"173","Yarmuth","John","Louisville","Kentucky","Louisville ,  Kentucky"
"174","Massie","Thomas","Garrison","Kentucky","Garrison ,  Kentucky"
"175","Rogers","Harold","Somerset","Kentucky","Somerset ,  Kentucky"
"176","Barr","Andy","Lexington","Kentucky","Lexington ,  Kentucky"
"177","Scalise","Steve","Jefferson","Louisiana","Jefferson ,  Louisiana"
"178","Richmond","Cedric","New Orleans","Louisiana","New Orleans ,  Louisiana"
"179","Boustany","Charles","Lafayette","Louisiana","Lafayette ,  Louisiana"
"180","Fleming","John","Minden","Louisiana","Minden ,  Louisiana"
"181","Abraham","Ralph","Alto","Louisiana","Alto ,  Louisiana"
"182","Graves","Garret","Baton Rouge","Louisiana","Baton Rouge ,  Louisiana"
"183","Neal","Richard","Springfield","Massachusetts","Springfield ,  Massachusetts"
"184","McGovern","James","Worcester","Massachusetts","Worcester ,  Massachusetts"
"185","Tsongas","Niki","Lowell","Massachusetts","Lowell ,  Massachusetts"
"186","Kennedy","Joseph","Brookline","Massachusetts","Brookline ,  Massachusetts"
"187","Clark","Katherine","Melrose","Massachusetts","Melrose ,  Massachusetts"
"188","Moulton","Seth","Salem","Massachusetts","Salem ,  Massachusetts"
"189","Capuano","Michael","Somerville","Massachusetts","Somerville ,  Massachusetts"
"190","Lynch","Stephen","South Boston","Massachusetts","South Boston ,  Massachusetts"
"191","Keating","William","Quincy","Massachusetts","Quincy ,  Massachusetts"
"192","Harris","Andy","Cockeysville","Maryland","Cockeysville ,  Maryland"
"193","Ruppersberger","C.","Cockeysville","Maryland","Cockeysville ,  Maryland"
"194","Sarbanes","John","Baltimore","Maryland","Baltimore ,  Maryland"
"195","Edwards","Donna","Oxon Hill","Maryland","Oxon Hill ,  Maryland"
"196","Hoyer","Steny","Mechanicsville","Maryland","Mechanicsville ,  Maryland"
"197","Delaney","John","Potomac","Maryland","Potomac ,  Maryland"
"198","Cummings","Elijah","Baltimore","Maryland","Baltimore ,  Maryland"
"199","Van Hollen","Chris","Kensington","Maryland","Kensington ,  Maryland"
"200","Pingree","Chellie","North Haven","Maine","North Haven ,  Maine"
"201","Poliquin","Bruce","Oakland","Maine","Oakland ,  Maine"
"202","Benishek","Dan","Crystal Falls","Michigan","Crystal Falls ,  Michigan"
"203","Huizenga","Bill","Zeeland","Michigan","Zeeland ,  Michigan"
"204","Amash","Justin","Cascade Township","Michigan","Cascade Township ,  Michigan"
"205","Moolenaar","John","Midland","Michigan","Midland ,  Michigan"
"206","Kildee","Daniel","Flushing","Michigan","Flushing ,  Michigan"
"207","Upton","Fred","St. Joseph","Michigan","St. Joseph ,  Michigan"
"208","Walberg","Tim","Tipton","Michigan","Tipton ,  Michigan"
"209","Bishop","Mike","Rochester","Michigan","Rochester ,  Michigan"
"210","Levin","Sander","Royal Oak","Michigan","Royal Oak ,  Michigan"
"211","Miller","Candice","Harrison Township","Michigan","Harrison Township ,  Michigan"
